"row","column","cor","p"
"in_ecc_cent","k_core_out",0.00100510597515155,0.987181736019083
"out_ecc_cent","k_core_out",-0.421710929376031,1.51123558111976e-12
"load_cent","k_core_out",0.18814169794513,0.00240956009579629
"stress_cent","k_core_out",0.1990802654961,0.0013071243974605
"gilschmidt","k_core_out",0.592549241142083,0
"hyper_index","k_core_out",0.0261068776950173,0.779934207195834
"k_core_in","k_core_out",0.0870249730884211,0.163412475184189
"deg_cent_total","comm_bet",0.986479983995766,0
"deg_cent_out","comm_bet",0.466521801072366,2.44249065417534e-15
"deg_cent_in","comm_bet",0.954944560400687,0
"wtd_deg_cent_total","comm_bet",0.463429953728513,3.99680288865056e-15
"wtd_deg_cent_out","comm_bet",0.490802050706021,0
"wtd_deg_cent_in","comm_bet",0.40138128768827,2.08890682529272e-11
"btw_cent","comm_bet",0.914832282127044,0
"close_cent_total","comm_bet",0.946792822653842,0
"close_cent_out","comm_bet",0.469564879125144,1.33226762955019e-15
"close_cent_in","comm_bet",0.915635152796029,0
"eigen_cent","comm_bet",0.355080660019092,4.40881775531921e-09
"component","comm_bet",NA,NA
"louvain_comm","comm_bet",-0.0658976228007733,0.291663480223679
"fstgrdy_comm","comm_bet",-0.0692989724982528,0.267415043592679
"page_rank","comm_bet",0.376519730793678,4.10593115063307e-10
"alpha_cent","comm_bet",-0.137032764603976,0.0277518694029348
"auth_score","comm_bet",0.398597677716069,2.95239388492519e-11
"hub_score","comm_bet",0.419084877589709,2.14295248213148e-12
"local_trans","comm_bet",-0.961743777307894,0
"in_ecc_cent","comm_bet",-0.37684718843686,3.95431687394421e-10
"out_ecc_cent","comm_bet",-0.17336395895265,0.00523363771090457
"load_cent","comm_bet",0.914852625968245,0
"stress_cent","comm_bet",0.96285215867375,0
"gilschmidt","comm_bet",0.466100280926606,2.66453525910038e-15
"hyper_index","comm_bet",0.47059689206257,8.59809086151131e-08
"k_core_in","comm_bet",0.832149669774911,0
"k_core_out","comm_bet",0.227834578190069,0.000223859130242587
"deg_cent_total","decay_in",-0.0104863268456694,0.866880606900089
"deg_cent_out","decay_in",0.093710478542755,0.133301387940115
"deg_cent_in","decay_in",-0.0397632510720932,0.524879047938938
"wtd_deg_cent_total","decay_in",-0.541162514320632,0
"wtd_deg_cent_out","decay_in",-0.0172967207994647,0.782165524052502
"wtd_deg_cent_in","decay_in",-0.562259788528858,0
"btw_cent","decay_in",-0.0283925884426256,0.649879546683721
"close_cent_total","decay_in",-0.127253056867621,0.0411146585378122
"close_cent_out","decay_in",0.101548452160425,0.103652415745134
"close_cent_in","decay_in",-0.189852777570169,0.00219436805778273
"eigen_cent","decay_in",-0.551725239256445,0
"component","decay_in",NA,NA
"louvain_comm","decay_in",0.107799560736229,0.0839615521062265
"fstgrdy_comm","decay_in",0.0620850371648227,0.320539607890614
"page_rank","decay_in",-0.563139840332426,0
"alpha_cent","decay_in",-0.0682022048749348,0.275078658471199
"auth_score","decay_in",-0.567661105255046,0
"hub_score","decay_in",-0.0830976020871007,0.1833317822127
"local_trans","decay_in",-0.234485792541843,0.000143972034240214
"in_ecc_cent","decay_in",-0.272254612257925,9.16881484691601e-06
"out_ecc_cent","decay_in",-0.0134747876783357,0.829458632276607
"load_cent","decay_in",-0.0284390126299666,0.649345195730038
"stress_cent","decay_in",-0.0479848920530107,0.442813361489718
"gilschmidt","decay_in",0.0931726863635036,0.135553330751836
"hyper_index","decay_in",0.269132497080368,0.00334411350218877
"k_core_in","decay_in",0.404926102090004,1.33826283388316e-11
"k_core_out","decay_in",-0.0331676034904262,0.595897286346907
"comm_bet","decay_in",0.0785345005524911,0.208656518682849
"deg_cent_total","decay_out",0.0788857819648738,0.206621703043448
"deg_cent_out","decay_out",0.18136215176432,0.00346406394562582
"deg_cent_in","decay_out",0.0331308026076795,0.596305466835754
"wtd_deg_cent_total","decay_out",0.013890401005197,0.824282589676133
"wtd_deg_cent_out","decay_out",-0.121807180944699,0.0506662746134512
"wtd_deg_cent_in","decay_out",0.0350084419798212,0.575643178192045
"btw_cent","decay_out",0.12909332416679,0.0382509489137153
"close_cent_total","decay_out",0.0857270511323927,0.169807532955951
"close_cent_out","decay_out",0.165313182811031,0.0077964318091106
"close_cent_in","decay_out",0.0390616958491168,0.532223417922624
"eigen_cent","decay_out",0.0306324795036875,0.624306404059995
"component","decay_out",NA,NA
"louvain_comm","decay_out",0.110455469792994,0.0765631463560181
"fstgrdy_comm","decay_out",0.1608428741762,0.00965784894254051
"page_rank","decay_out",0.035742472676245,0.567658038897996
"alpha_cent","decay_out",-0.0765990114527711,0.220127098536896
"auth_score","decay_out",0.0309389374020586,0.620841369586179
"hub_score","decay_out",-0.118569083865583,0.057175314493346
"local_trans","decay_out",-0.060569132314029,0.332520142615969
"in_ecc_cent","decay_out",-0.0405387172248585,0.516821381540304
"out_ecc_cent","decay_out",-0.140632331744724,0.023873440219786
"load_cent","decay_out",0.129084656668906,0.0382640310224476
"stress_cent","decay_out",0.0873586002207638,0.161798183831484
"gilschmidt","decay_out",0.182089123217423,0.00333376111310812
"hyper_index","decay_out",-0.0165983783548902,0.859018671503537
"k_core_in","decay_out",0.0446854311637498,0.474840115850523
"k_core_out","decay_out",0.255134571722756,3.36852895013173e-05
"comm_bet","decay_out",0.0619510128286413,0.321587387448889
"decay_in","decay_out",-0.037268475708543,0.551228235406428
"deg_cent_total","diffus_indeg",0.961076526708489,0
"deg_cent_out","diffus_indeg",0.228597139112265,0.000212949584098343
"deg_cent_in","diffus_indeg",0.99815226127276,0
"wtd_deg_cent_total","diffus_indeg",0.495886247299232,0
"wtd_deg_cent_out","diffus_indeg",0.325230206687906,9.06127484157082e-08
"wtd_deg_cent_in","diffus_indeg",0.463145478587539,3.99680288865056e-15
"btw_cent","diffus_indeg",0.851647999356922,0
"close_cent_total","diffus_indeg",0.956293994979375,0
"close_cent_out","diffus_indeg",0.231721673694789,0.00017322669356945
"close_cent_in","diffus_indeg",0.977806122176042,0
"eigen_cent","diffus_indeg",0.424982619642896,9.73887637201187e-13
"component","diffus_indeg",NA,NA
"louvain_comm","diffus_indeg",-0.132707980211218,0.0331148573748141
"fstgrdy_comm","diffus_indeg",-0.104671254582692,0.0934023672550657
"page_rank","diffus_indeg",0.446981293786212,4.48530101948563e-14
"alpha_cent","diffus_indeg",-0.116635588418109,0.0613814460777262
"auth_score","diffus_indeg",0.460423971488004,6.21724893790088e-15
"hub_score","diffus_indeg",0.281204497479595,4.47959064686643e-06
"local_trans","diffus_indeg",-0.912341569291111,0
"in_ecc_cent","diffus_indeg",-0.352723963418299,5.66318125727605e-09
"out_ecc_cent","diffus_indeg",-0.0497043420726373,0.426622375922586
"load_cent","diffus_indeg",0.851728234646506,0
"stress_cent","diffus_indeg",0.909296459022256,0
"gilschmidt","diffus_indeg",0.227864661164803,0.000223419047213458
